,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgWorkHours,AbsentDays,OvertimeDays
0,51,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,7.373650622605365,29,0
1,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,7.718968926553672,25,0
2,32,No,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,7.013240358126722,19,0
3,38,No,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,7.193678486997635,26,0
4,32,No,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,8.006174603174603,16,0
5,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,10.796095874355368,24,237
6,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,6.923570402298851,29,0
7,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,6.725620713305898,18,0
8,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,7.236498792270532,31,0
9,25,No,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,7.080087844254511,27,0
10,45,No,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,8.403485477178425,20,6
11,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,,4.0,3.0,3,3,7.06895458736745,20,0
12,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,9.301409509946627,32,191
13,47,Yes,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,9.399931442080378,26,217
14,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,6.08968764407561,20,0
15,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.705174636661979,24,0
16,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.619040626529614,34,0
17,37,No,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.014328139114726,15,246
18,35,No,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6.960253831417625,29,0
19,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,9.293555796055795,30,189
